"","rank","name","brewery","type","ABV","num_ratings","avg_rating"
"233","233","Birra Peroni","Birra Peroni Industriale S.p.A.","American Adjunct Lager",4.7,481,2.73
"234","234","Dos Equis Special Lager","Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.","American Adjunct Lager",4.2,3018,2.75
"235","235","Mythos Hellenic Lager Beer","Mythos Breweries S.A.","European Pale Lager",4.7,799,2.74
"236","236","Cerveza Pacifico Clara","Grupo Modelo S.A. de C.V.","American Adjunct Lager",4.5,2298,2.75
"237","237","Carib Ginger Shandy","Carib Brewery Limited","Herb and Spice Beer",1.2,35,2.43
"238","238","Molson Golden","Molson Coors Canada","American Adjunct Lager",5,706,2.74
"239","239","Bud Light Lime Peach-A-Rita","Anheuser-Busch","Malt Liquor",8,26,2.32
"240","240","Amigos","Global Brands Ltd.","American Lager",5.5,19,2.16
"241","241","Bir Bintang Pilsner","Bintang","American Adjunct Lager",4.7,162,2.69
"242","242","Old German","Pittsburgh Brewing Co.","American Adjunct Lager",4.2,140,2.68
"243","243","Cruzcampo Pilsener","Grupo Cruzcampo SA","German Pilsner",4.8,120,2.67
"244","244","Cerveza Aguila","Cervecería De Barranquilla","American Adjunct Lager",4,176,2.7
"245","245","Tuborg Pilsner Beer (Green / Grøn)","Tuborgs Bryggerier A/S","European Pale Lager",4.6,326,2.73
"246","246","Cerveza Cristal","Cerveceria Bucanero S.A.","American Adjunct Lager",4.9,124,2.68
"247","247","Earthquake High Gravity Lager (10%)","City Brewing Company, LLC","Malt Liquor",10,74,2.62
"248","248","Bali Hai Premium","PT Bali Hai Brewery Indonesia","American Adjunct Lager",5,36,2.46
"249","249","Presidente","Cervecería Nacional Dominicana","American Adjunct Lager",5,901,2.76
"250","250","Grain Belt Premium Light","August Schell Brewing Company","Light Lager",3.9,50,2.55
